
===== phase2 lag-h ACI :: 2026-08-18 00:30:18 =====
frozen wrapper results/misc/conformal_config.json  digest ok  gamma=0.05  alpha_1=0.1
  lambda_h = {'3': 0.1945, '5': 0.1809, '10': 0.4144, '15': 0.4584}
  calibrated on ['dengue', 'influenza_japan', 'influenza_us-regions', 'influenza_us-states', 'covid_us-states']


arm                              h   T       n |  raw cov     +lam     +ACI  +ACIlag  upd |      raw w     +lam w     +ACI w     +lag w   inf%
ebola_L20 few-shot s82           3  18     757 |    0.744    0.988    0.987    0.987   15 |      186.5      259.1      214.9      222.1    0.0
ebola_L20 few-shot s82           5  18     766 |    0.649    0.914    0.913    0.914   13 |      126.7      172.5      165.9      167.4    0.0
ebola_L20 few-shot s82          10  18     765 |    0.651    0.988    0.988    0.988    8 |      189.1      345.8      264.5      320.9    0.0
ebola_L20 few-shot s82          15  18     642 |    0.674    0.975    0.975    0.975    3 |       66.3      127.1      106.8      126.8    0.0
ebola_L20 zero-shot s82          3  18     757 |    0.523    0.922    0.914    0.917   15 |       36.0       50.0       48.2       48.7    0.0
ebola_L20 zero-shot s82          5  18     766 |    0.496    0.916    0.919    0.920   13 |       37.1       50.5       51.6       52.6    0.0
ebola_L20 zero-shot s82         10  18     765 |    0.396    0.966    0.958    0.963    8 |       48.7       89.1       75.6       86.2    0.0
ebola_L20 zero-shot s82         15  18     642 |    0.369    0.964    0.961    0.963    3 |       50.2       96.1       82.1       95.9    0.0

ACI worst case at T=18: 0.167 -- coverage may sit this far from nominal in theory.
NO FINITE-SAMPLE GUARANTEE ON EBOLA: NO finite-sample guarantee on Ebola: lambda_h is fitted on other diseases and TRANSFERRED. The guarantee comes from ACI's online adaptation, not from this initialisation.

+ACI is LAG-1: it feeds the outcome of origin t into the alpha used at t+1, but a h-step forecast is not resolved until t+h, so at h=3/5/10/15 that outcome is 2/4/9/14 weeks of future truth. Label it RETROSPECTIVE / oracle-feedback.
+ACIlag is the honest stream (update at t from origins <= t-h). `upd` is how many of the T origins ever adapted; the rest ran at alpha_1 = 0.1. Report the +lam and +ACIlag columns; the gap to +ACI is the size of the oracle.
largest oracle gap: ebola_L12 few-shot s52 h15  +ACI 0.805 vs +ACIlag 0.480 (+0.326, 3 of 18 origins adapted)
